type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	flagellum	0	-0.382137598007822	0.1789329840725108
speech	inermus	0	-0.382137598007822	0.1789329840725108
speech	mantum	0	-0.382137598007822	0.1789329840725108
speech	spiramentum	0	-0.382137598007822	0.1789329840725108
speech	hortantum	0	-0.382137598007822	0.1789329840725108
speech	conuuldo	0	-0.382137598007822	0.1789329840725108
speech	sternax	0	-0.382137598007822	0.1789329840725108
speech	emathii	0	-0.382137598007822	0.1789329840725108
speech	aegatus	0	-0.382137598007822	0.1789329840725108
speech	hybla	0	-0.382137598007822	0.1789329840725108
speech	ephyrus	0	-0.382137598007822	0.1789329840725108
speech	ichnobates	0	-0.382137598007822	0.1789329840725108
speech	marruuius	0	-0.382137598007822	0.1789329840725108
speech	conubialis	0	-0.382137598007822	0.1789329840725108
speech	corduba	0	-0.382137598007822	0.1789329840725108
speech	actora	0	-0.382137598007822	0.1789329840725108
speech	acerrae	0	-0.382137598007822	0.1789329840725108
speech	hebesco	0	-0.382137598007822	0.1789329840725108
speech	lygdes	0	-0.382137598007822	0.1789329840725108
speech	coruulus	0	-0.382137598007822	0.1789329840725108
speech	lycomedes	0	-0.382137598007822	0.1789329840725108
speech	lychnus	0	-0.382137598007822	0.1789329840725108
speech	lycetus	0	-0.382137598007822	0.1789329840725108
speech	typhon	0	-0.382137598007822	0.1789329840725108
speech	infreno	0	-0.382137598007822	0.1789329840725108
speech	hebe	0	-0.382137598007822	0.1789329840725108
speech	lusitanus	0	-0.382137598007822	0.1789329840725108
speech	ii	0	-0.382137598007822	0.1789329840725108
speech	sipylus	0	-0.382137598007822	0.1789329840725108
speech	faliscus	0	-0.382137598007822	0.1789329840725108
speech	inflammo	0	-0.382137598007822	0.1789329840725108
speech	zanclaea	0	-0.382137598007822	0.1789329840725108
speech	dion	0	-0.382137598007822	0.1789329840725108
speech	ilerda	0	-0.382137598007822	0.1789329840725108
speech	spiceus	0	-0.382137598007822	0.1789329840725108
